seed,AR_max,succ
577,1.0,1.0
578,1.0,1.0
579,1.0,1.0
580,1.0,1.0
581,1.0,1.0
582,0.999988539881972,0.99995
583,0.99998687325297,0.99995
584,1.0,1.0
585,0.9736122444037884,0.35285
586,0.9999723684210527,0.9993
587,1.0,1.0
588,0.9999386782166222,0.99735
589,0.9874796105501752,0.4096
590,1.0,1.0
591,1.0,1.0
595,1.0,1.0
597,0.99875961001922,0.95955
598,0.996994148986776,0.0028
599,0.9978226901507186,0.9481
601,0.999999129714049,0.9999
602,0.9999776895593488,0.99965
604,1.0,1.0
605,1.0,1.0
606,1.0,1.0
607,1.0,1.0
609,1.0,1.0
610,1.0,1.0
611,1.0,1.0
612,0.9958902093023256,0.6688
613,1.0,1.0
614,1.0,1.0
615,1.0,1.0
616,0.9996430242853528,0.9972
617,1.0,1.0
618,0.9999964455891824,0.99955
619,1.0,1.0
620,1.0,1.0
621,1.0,1.0
622,0.9990535366503562,0.98565
624,1.0,1.0
625,0.9999815626539084,0.99995
626,1.0,1.0
627,0.999583694603643,0.98435
628,0.9725609235668792,0.3423
629,0.9999141562853908,0.9982
630,0.99968726147343,0.99595
631,0.9987633158598008,0.87525
632,0.9997641850352376,0.9415
634,1.0,1.0
635,0.9998959166190752,0.0034
636,1.0,1.0
637,1.0,1.0
638,1.0,1.0
639,0.999952062365205,0.99985
640,1.0,1.0
641,1.0,1.0
642,1.0,1.0
643,1.0,1.0
644,1.0,1.0
645,0.9726321457634016,0.21015
647,0.9994010646387834,0.9956
648,0.9999336728711712,0.9997
649,1.0,1.0
650,0.9924132946961716,0.65365
651,0.9998965843286282,0.99375
652,1.0,1.0
654,1.0,1.0
655,1.0,1.0
658,0.9999641595896748,0.99955
660,0.9999875569542958,0.99995
661,1.0,1.0
662,0.9960594034448956,0.9049
663,1.0,1.0
664,1.0,1.0
666,1.0,1.0
667,0.9999901650819576,0.9997
668,0.996129244139046,0.92905
670,1.0,1.0
672,1.0,1.0
673,1.0,1.0
674,0.9999847613290694,0.99995
675,1.0,1.0
676,1.0,1.0
678,1.0,1.0
679,1.0,1.0
680,0.9999932097153302,0.99995
681,0.9999922381930186,0.9999
683,1.0,1.0
684,1.0,1.0
685,0.9999890795224736,0.9999
686,1.0000000000000002,1.0
687,1.0,1.0
689,0.9923152333315876,0.6433
690,1.0,1.0
691,1.0,1.0
693,0.9999820008478169,0.99995
694,0.9999982605257955,0.99995
696,1.0,1.0
698,1.0,1.0
700,1.0,1.0
701,1.0,1.0
703,1.0,1.0
704,1.0,1.0
705,0.9999628210116732,0.99965
706,1.0,1.0
707,0.9999880650189268,0.9999
708,1.0,1.0
